voiture,prix-dh,lieu,kilometrage,annee-pub,boite-vitesses,carburant,date,puissance-fiscale,vehicule-dedouane,description,lien,nombre-portes,premiere-main,importe-neuf,carrosserie,couleur,vehicule-garantie,voiture_personnalisee
BMW Serie 5,490000,Casablanca,24000.0,2021,Automatique,Diesel,2024-08-03,8.0,2021.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.

marque bmw

modèle serie 5

date de mise en circulation 2021

puissance fiscale 08cv

boite à vitesse automatique

energie diesel

kilométrage 21 000",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/438565/bmw-serie-5-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
RENAULT Kadjar,229000,Casablanca,119000.0,2020,Automatique,Diesel,2024-08-03,6.0,2020.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.

marque renault

modèle   kadjar

mise en circulation 2020

puissance fiscale 06 cv

boite à vitesse automatique

energie diesel

kilométrage 114 143",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429932/renault-kadjar-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
FIAT 500,144000,Casablanca,69000.0,2021,Automatique,Essence,2024-08-03,7.0,2021.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.

marque fiat

modèle 500

date de mise en circulation 2021

puissance fiscale 07cv

boite à vitesse automatique

energie essence

kilométrage 66000",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/438472/fiat-500-.html,3.0,Oui,n/d,n/d,n/d,Non,n/d
CITROEN C3,153000,Tetouan,34000.0,2021,Manuelle,Diesel,2024-08-03,6.0,2021.0,Citroen c3 2021 diesel,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447893/citroen-c3-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
RENAULT Clio,135000,Tetouan,189000.0,2020,Automatique,Diesel,2024-08-03,6.0,2020.0,Renault clio antous 2020,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447895/renault-clio-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
AUDI A3 sportback,650000,Tetouan,14000.0,2022,Automatique,Diesel,2024-08-03,8.0,2022.0,"Audi a3 slaine 2022
200cv",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447896/audi-a3-sportback-.html,5.0,Oui,Oui,n/d,n/d,Non,n/d
BMW Serie 8,900000,Casablanca,54000.0,2020,Automatique,Diesel,2024-08-03,12.0,2020.0,"Auto reda met en vente une bmw serie 8 pack m en très bon état avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise

pour plus d'information contactez nous soyez les bienvenue chez auto reda

sis a casablanca n-26 rue kotaib ibnou mouslim, ex girflées maarif",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/415047/bmw-serie-8-.html,3.0,Oui,Oui,n/d,n/d,Non,n/d
LAND-ROVER Range rover sport,660000,Casablanca,84000.0,2019,Automatique,Diesel,2024-08-03,12.0,2019.0,"Auto reda met en vente une range rover sport autobiographie en très bon bon état avec une garantie sur les 10 000km plus un vidange gratuit de 10 000km plus le frais de dossier avec une possibilité de reprise

pour plus d'informations contactez nous

soyez les bienvenus chez auto reda

sis a casablanca n-26 rue kotaib ibnou mouslim, ex girflées maarif",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429672/land-rover-range-rover-sport-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
JEEP Grand cherokee,200000,Casablanca,129000.0,2017,Automatique,Diesel,2024-08-03,12.0,2017.0,"Auto reda met en vente une jeep grand cherokee limited en très bon bon état avec une garantie sur les 10 000km plus un vidange gratuit de 10 000km plus le frais de dossier avec une possibilité de reprise

pour plus d'informations contactez nous

soyez les bienvenus chez auto reda

sis a casablanca n-26 rue kotaib ibnou mouslim, ex girflées maarif",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429673/jeep-grand-cherokee-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
JEEP Grand cherokee,200000,Casablanca,119000.0,2018,Automatique,Diesel,2024-08-03,12.0,2018.0,"Auto reda met en vente une jeep grand cherokee limited en très bon état avec un vidange gratuit de 10 000km plus le frais de dossier avec une possibilité de reprise

pour plus d'informations contactez nous

soyez les bienvenus chez auto reda

sis a casablanca n-26 rue kotaib ibnou mouslim, ex girflées maarif",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436455/jeep-grand-cherokee-.html,0.0,Oui,n/d,n/d,n/d,Non,n/d
VOLKSWAGEN Golf 8,330000,Tanger,44000.0,2022,Automatique,Diesel,2024-08-03,8.0,2022.0,Golf 8 pack gti en très bon état disponible dans notre showroom,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436278/volkswagen-golf-8-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
HYUNDAI Elantra,158000,Tanger,84000.0,2019,Manuelle,Diesel,2024-08-03,6.0,2019.0,Hyundai elantra en tres bon etat disponible dans notre showroom,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/427355/hyundai-elantra-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
VOLKSWAGEN Golf 7,200000,Tanger,84000.0,2018,Automatique,Diesel,2024-08-03,8.0,2018.0,Volkswagen golf 7 automatique 2018 disponible dans notre showroom,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/427359/volkswagen-golf-7-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
RENAULT Megane 4,186000,Tanger,59000.0,2020,Automatique,Diesel,2024-08-03,6.0,2020.0,Renault megane 4 en tres bon état disponible dans notre showroom,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434020/renault-megane-4-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
MERCEDES Classe a,395000,Tanger,129000.0,2019,Automatique,Diesel,2024-08-03,9.0,2019.0,Mercedes a200 class 2019 dédouane 2022 pack amg en très bon état disponible dans notre showroom,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434022/mercedes-classe-a-200.html,5.0,Oui,n/d,Compact,n/d,Non,n/d
TOYOTA Hilux,279000,Casablanca,69000.0,2019,Manuelle,Diesel,2024-08-03,10.0,2019.0,Toyota hilux double cabine 2019 68000km à casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448072/toyota-hilux-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
RENAULT Clio,158000,Casablanca,84000.0,2020,Manuelle,Diesel,2024-08-03,6.0,2020.0,Renault clio diesel manuelle 2020 à casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448074/renault-clio-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
TOYOTA Corolla sport 140,192000,Casablanca,79000.0,2021,Automatique,Hybride,2024-08-03,10.0,2021.0,Toyota corolla sport hybride automatique 2021,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448886/toyota-corolla-sport-140-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
SKODA Superb,348000,Casablanca,44000.0,2022,Automatique,Diesel,2024-08-03,8.0,2022.0,Skoda superb automatique 2022 40000km sport line,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448887/skoda-superb-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
TOYOTA C-hr,205000,Casablanca,44000.0,2019,Automatique,Hybride,2024-08-03,10.0,2019.0,Toyota chr dynamic plus faible kilometrage 42000,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448888/toyota-c-hr-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
TOYOTA Corolla,75000,Fes,249000.0,2008,Manuelle,Essence,2024-08-03,8.0,2008.0,"Je met en vente ma belle voiture toyota corola en bonne état,  jamais accidenté. li braha marhaba",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447830/toyota-corolla-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
SEAT Leon,135000,Fes,149000.0,2017,Manuelle,Diesel,2024-08-03,7.0,2017.0,"Je met en vente ma belle voiture seat léon diesel toute options, jamais accidentée. en très bonne  état, li braha mrahba",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447831/seat-leon-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
PEUGEOT 107,69000,Casablanca,100000.0,2011,Manuelle,Essence,2024-08-03,6.0,0.0,Peugeot 107 essence model 2011 w maroc 1er main **** km . prix 69 000 dhs vignette 350 dhs . voiture État neuf peinture d'origine.,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/388635/peugeot-107-.html,4.0,Oui,n/d,Micro-citadine,Gris,3 Mois,Oui
VOLKSWAGEN Touareg,153000,Casablanca,169000.0,2015,Automatique,Diesel,2024-08-03,12.0,2015.0,Je mets en vente volkswagen touareg model 2015 en  très bon état tout option: -xénon&led-rétroviseur rabattable-régulateur de vitesse- -start and stop-boite automatique-radar de recul av/ar/ camera -écran gps.....,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447454/volkswagen-touareg-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
HYUNDAI Elantra,245000,Casablanca,14000.0,2023,Automatique,Hybride,2024-08-03,6.0,2023.0,"Hyundai elantra hybride
model :12/2022
kilometrage : 16 000
voiture neuf pours plus d’info contactez moi",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447456/hyundai-elantra-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
ALFA-ROMEO Stelvio,283000,Casablanca,94000.0,2020,Automatique,Diesel,2024-08-03,8.0,2020.0,"Alfa romeo stelvio
model : 11\2019
kilometrage : 94 000
version  180 ch
plus d’info contacter moo












f
f
f",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447457/alfa-romeo-stelvio-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
PEUGEOT 301,105000,Rabat,84000.0,2018,Manuelle,Diesel,2024-08-03,6.0,2018.0,"Siaracash n'a pas de garage, la voiture est chez son propriétaire à marrakech
il n'y a pas de frais pour l'acheteur.
veuillez nous contacter pour plus d'informations ou pour voir le véhicule.

marque : peugeot 
modèle : 301
version : 2018
carburant : diesel
transmission : manuelle
kilométrage : 81 809 km
mise en circulation : 2018
1ere main : non
origine : ww maroc.",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447747/peugeot-301-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
PORSCHE Macan,390000,Rabat,129000.0,2019,Automatique,Essence,2024-08-03,11.0,2019.0,"Nous mettons en vente une  porsche macan  toutes options pour le compte de son client particulier.
la voiture est expertisée suivant 150 points de contrôles et ne présente pas d'accident ou de blocage administratif.
siara cash n'a pas de garage, la voiture est chez son propriétaire.
il n'y a pas de frais pour l'acheteur.
veuillez nous contacter pour plus d'informations ou pour voir le véhicule.
nb/ pour voir le rapport d'expertise veuillez visiter notre plateforme siaracash point ma .",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/445314/porsche-macan-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
RENAULT Kadjar,225000,Rabat,69000.0,2020,Automatique,Diesel,2024-08-03,6.0,0.0,"Nous mettons en vente une renault kadjar pour le compte de son client particulier.
siara cash n'a pas de garage, la voiture est chez son propriétaire.
il n'y a pas de frais pour l'acheteur.
veuillez nous contacter pour plus d'informations ou pour voir le véhicule.
nb/ pour voir le rapport d'expertise téléphonique veuillez visiter notre plateforme siaracash point ma",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/445327/renault-kadjar-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
VOLKSWAGEN Golf 5,95000,Casablanca,112000.0,2007,Automatique,Essence,2024-08-03,16.0,2013.0,bonjour nous vendons une golf 5 r32 de 2007 ded 2013 full options très propres aucun frais à prévoir entièrement révisé vignette 8000dhs vignette 2021 okcontactez nous et merci,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/355827/volkswagen-golf-5-r32.html,4.0,Non,n/d,Compact,Gris clair,Non,n/d
BMW M5,62000,Marrakech,265000.0,2007,Manuelle,Diesel,2024-08-03,12.0,0.0,Voiture en bob état papier regle,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449110/bmw-m5-525d.html,5.0,Non,n/d,n/d,Noir,Non,Oui
CITROEN C4 picasso,150000,Tanger,94000.0,2018,Manuelle,Diesel,2024-08-03,6.0,2018.0,"Derkaoui automotive s’occupe de la vente pour le compte de son client, d’une -

citroën c4 picasso 1.6 hdi | 2018 | 90.000 km |

détails :

année - 08/2018
kilométrage **** km réel 
version - feel pack
motorisation - 1.6 hdi manuel

prix **** dh - légèrement négociable 

la voiture est visible au garage parking derkaoui.
essai du véhicule sur rendez-vous
merci de nous prévenir avant votre passage pour être sûr de notre présence au garage.

derkaoui automotive - agence d’intermédiation",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442473/citroen-c4-picasso-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
DACIA Duster,178000,Tanger,80000.0,2019,Automatique,Diesel,2024-08-03,6.0,0.0,Dacia duster 1.5 dci 110 edc | automatique | première main | 2019 | 80.000 km |détails:année – 09/2019kilométrage – 80.000 km certifiémotorisation – 1.5 dci 110 edcpremière main – ouigarantie – 3 mois prix – 178.000 dhessai du véhicule sur rendez-vous. merci de nous prévenir avant votre passage pour être sûr de notre présence au showroom.derkaoui automotivetanger,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447135/dacia-duster-15-dci-110-edc.html,5.0,Oui,n/d,Suv et 4x4,Gris clair,3 Mois,n/d
CITROEN C3,155000,Tanger,60000.0,2022,Manuelle,Diesel,2024-08-03,6.0,0.0,Citroen c3 feel pack 1.5 hdi 100 | 2022 | 60.000 km |détails:année – 08/2022kilométrage – 60.000 kmversion – feel packpremière main – ouigarantie – 6 moisessai du véhicule sur rendez-vous. merci de nous prévenir avant votre passage pour être sûr de notre présence au showroom.derkaoui automotivetanger,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447136/citroen-c3-feel-pack.html,5.0,Oui,n/d,Citadine,Gris fonce,6 Mois,n/d
RENAULT Clio,165000,Casablanca,54000.0,2022,n/d,Diesel,2024-08-03,0.0,2022.0,renault clio 1.5 dCi 115 Techno,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442116/renault-clio-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
DACIA Dokker van,130000,Casablanca,99000.0,2021,n/d,Diesel,2024-08-03,0.0,2021.0,dacia dokker 1.5 dCi 85 Ambiance 1PLC Gen.I Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442118/dacia-dokker-van-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
DACIA Sandero stepway,140000,Casablanca,64000.0,2021,n/d,Diesel,2024-08-03,0.0,2021.0,dacia sandero 1.5 dCi 85 Ambiance Gen.II Ph2,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442124/dacia-sandero-stepway-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
DACIA Logan mcv,108000,Casablanca,54000.0,2021,n/d,Essence,2024-08-03,0.0,2021.0,dacia logan 1.0 Tce 100 Essentiel Gen.III Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442126/dacia-logan-mcv-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
DACIA Logan mcv,102000,Casablanca,49000.0,2021,n/d,Essence,2024-08-03,0.0,2021.0,dacia logan 1.0 Tce 100 Essentiel Gen.III Ph1,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442127/dacia-logan-mcv-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
FIAT 500,108000,Casablanca,109000.0,2016,Manuelle,Diesel,2024-08-03,6.0,0.0,Moteur et carrosserie en bon état.,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449108/fiat-500-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
OPEL Corsa,145000,Casablanca,64000.0,2021,Manuelle,Diesel,2024-08-03,6.0,2021.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.

marque opel

modèle corsa

date de mise en circulation 2021

puissance fiscale 06cv

boite à vitesse manuelle

energie diesel

kilométrage 61 968",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434492/opel-corsa-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
HYUNDAI Creta,185000,Casablanca,149000.0,2017,Automatique,Diesel,2024-08-03,6.0,2017.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.
marque hyundai
modèle creta
date de mise en circulation 2017
puissance fiscale 06 cv
boite à vitesse automatique  
energie diesel 
kilométrage 143 620",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434526/hyundai-creta-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
RENAULT Megane 4,159000,Casablanca,74000.0,2019,Manuelle,Diesel,2024-08-03,6.0,2019.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant : nouveauté, confort & sécurité.
marque renault
modèle megane 1.5 dci life
date de mise en circulation 2019
puissance fiscale 7 chevaux fiscaux
energie diesel
boite à vitesse manuelle
kilométrage 73 000 kms",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403312/renault-megane-4-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
MERCEDES Classe c,330000,Casablanca,169000.0,2016,Automatique,Diesel,2024-08-03,9.0,2016.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.
marque mercedes 
modèle   classe c 220d 
mise en circulation 2016 dédouanée 2022 
puissance fiscale 09cv
boite à vitesse automatique 
energie diesel  
kilométrage ****",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429947/mercedes-classe-c-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
CITROEN C3,149000,Casablanca,54000.0,2021,Manuelle,Diesel,2024-08-03,6.0,2021.0,"Global occaz vous propose un véhicule sûr, répondant à toutes vos exigences et réunissant nouveauté, confort & sécurité.

marque citroen

modèle c3

date de mise en circulation 2021

puissance fiscale 06cv

boite à vitesse manuelle

energie diesel

kilométrage 60 000",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436642/citroen-c3-.html,0.0,Non,n/d,n/d,n/d,Non,n/d
LAND-ROVER Range rover sport,520000,Nador,119000.0,2015,Automatique,Diesel,2024-08-03,12.0,2015.0,"#je mets en vente une range rover sport modele 2015, importe neuf, full option 114000 km , disponible nador",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/419888/land-rover-range-rover-sport-.html,5.0,Non,Oui,n/d,n/d,Non,n/d
PORSCHE Cayenne,1850000,Nador,4000.0,2023,Automatique,Hybride,2024-08-03,17.0,2023.0,"Porshe cayenne

#je mets en vente une  porshe cayenne model 2023, essence hybrid, full option 0km, importe neuf, disponible nador",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/419511/porsche-cayenne-.html,5.0,Oui,Oui,n/d,n/d,Non,n/d
HYUNDAI Creta,260000,Nador,14000.0,2023,Automatique,Diesel,2024-08-03,6.0,0.0,Hyundai creta diesel automatique,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448199/hyundai-creta-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
VOLKSWAGEN Tiguan,540000,Nador,79000.0,2021,Automatique,Diesel,2024-08-03,8.0,2021.0,Volkswagen tiguan 2021 importee neuve r line tout les option,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435923/volkswagen-tiguan-.html,5.0,Non,Oui,n/d,n/d,Non,n/d
LAND-ROVER Range rover sport,420000,Nador,159000.0,2016,Automatique,Diesel,2024-08-03,12.0,2016.0,"Range rover sport hse 2016 blanc 
État excellent",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435924/land-rover-range-rover-sport-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
MERCEDES Gle,640000,Casablanca,99000.0,2016,Automatique,Essence,2024-08-03,31.0,2016.0,Très belle 63 s full options.5 cameras.suspension pneumatique.toit panoramique.multimédia arrière.sièges chauffants et ventilés.harman kardan sound.jantes 22 pouces .très belle 63 s pour des sensations très fortes.,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434915/mercedes-gle-.html,5.0,Non,Oui,n/d,n/d,Non,n/d
MERCEDES Classe b,139000,Tanger,169000.0,2013,Automatique,Diesel,2024-08-03,7.0,2013.0,"La trÈs belle mercedes classe b 200 cdi diesel 7cv pack urban sport boite de vitesses automatique 7g-tronic modÈle 02/2013 en trÈs bon État, voiture toutes options. navigation ecran couleur, radio cd mp3, prise aux et usb, tÉlephone bluetooth, audio streaming, grand ordinateur de bord, jantes en aluminium 17'', climatisation semi-automatique, salon en semi-cuir, siÈges sport baquets, accoudoir central, 4xvitres Électriques teintÉes, alarme volumÉtrique, abs, esp, airbags, chrome, pack chrome, rÉgulateur et limiteur de vitesses, rÉtroviseurs Électriques, contrÔle de pression de pneus, attention assist, dÉtection de somnolence, volant sport multifonctions en cuir, palettes au volant, pack Éclairage et visibilitÉ, allumage automatique des feux, essuie glace automatique, systÈme start/stop, radars de stationnement... État impeccable. vignette 700dhs.",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424748/mercedes-classe-b-.html,5.0,Non,Oui,n/d,n/d,Non,n/d
MERCEDES Classe a,287000,Tanger,139000.0,2015,Automatique,Diesel,2024-08-03,9.0,2015.0,"Une trÈs rare mercedes classe a 220 d amg line petronas edition en boÎte automatique dct7 9cv modÈle 11/2015 dedouanÉe en 2021 en parfait État avec 140.000km seulement. full options. pack motorsport edition et pack sport black, toit ouvrant panoramique, salon en cuir bi-ton, siÈges sport bacquets, systÈme multimÉdia avec sonorisation premium ''harman kardon'', navigation gps command, grand ecran couleur, commandes vocales, entrÉe aux, 2xusb. juke box, disque dur hdd, bluetooth tÉlÉphone, audio streaming, systÈme Éco, radars de stationnement avant et arriÈre actif, park assist, stationnement automatique, camÉra de recul, grand ordinateur de bord, agility select, modes de conduites, jantes en aluminium amg 18'' noir et contours vert petrol, front assist, avertisseur de collision, avertisseur d'angle mort, systÈme de freinage d'urgence, feux de jours leds, Éclairage adaptatif, intelligent light system ils, feux xÉnon full leds, climatisation automatique bi-zone, aÉrateur en vert petrol, capteur d'humiditÉ et de tempÉrature, siÈges sport Électriques chauffants, rÉglages des siÈges Électriques avec mÉmoires, Éclairage d'ambiance multicolores, systÈme keyless-go, ouverture/fermeture a empreinte, dÉmarrage bouton start, Éclairage de seuils des portes, 4xvitres Électriques teintÉes, rÉtroviseurs rabattables Électriques, alarme, abs, esp, airbags, pack chrome, rÉgulateur et limiteur de vitesses, volant multifonctions en cuir, allumage automatique des feux et feux de route, essuie glace automatique, dÉtection de pression de pneus, dÉtection de fatigue, lecture de panneaux, spoiler arriÈre,, diffuseur sport, bas de caisse sport, jupe av/ar spÉcifiques, double sorties d'Échappement chromÉes,.  vignette 1500dh/an.",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424753/mercedes-classe-a-.html,5.0,Non,n/d,n/d,n/d,Non,n/d
FORD Kuga,147000,Tanger,169000.0,2014,Manuelle,Diesel,2024-08-03,8.0,2014.0,"La trÈs belle ford kuga 2.0 tdci trend plus diesel 8cv modÈle 2014 en parfait État et toutes options. siÈges sport, climatisation automatique digitale bi-zone, rÉgulateur de vitesse, ford-power keyless dÉmarrage sans clÉ, volant en cuir multifonctions, systÈme ford sync, navigation gps, grand Écran tactile, systÈme android, camÉra de recul,radio cd mp3, fiche aux et prise usb, commandes vocales, tÉlephone bluetooth, audio streaming, barres de toit, gardes boues, jantes en aluminium 17'', radars de stationnement, ordinateur de bord, finition chrome, rÉtroviseurs Électriques, 4xvitres Électriques, feux anti-brouillards, double sortie de pot chromÉes, airbags, abs, ebd, eba, esp, follow me home, aide au dÉmarrage en cote, accoudoir central, direction assistÉe cache bagages, rÉtroviseurs Électriques rabattable, vitres teintÉes, Éclairage d'ambiance a leds,... vignette 1500dhs/an.",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424767/ford-kuga-10-tce.html,5.0,Oui,n/d,Berline,Blanc,24 Mois,n/d
FORD Kuga,124000,Tanger,199000.0,2012,Manuelle,Diesel,2024-08-03,8.0,2012.0,"La trÈs belle ford kuga 2.0 tdci trend diesel 8cv modÈle 2012 en parfait État et toutes options. siÈges sport, climatisation automatique digitale bi-zone, rÉgulateur de vitesse, ford-power keyless dÉmarrage sans clÉ, volant en cuir multifonctions, sonorisation sony, radio cd mp3, fiche aux, commandes vocales, tÉlephone bluetooth, audio streaming, barres de toit, gardes boues, jantes en aluminium 17'', radars de stationnement, ordinateur de bord, finition chrome, rÉtroviseurs Électriques, 4xvitres Électriques, feux anti-brouillards, double sortie de pot chromÉes, airbags, abs, ebd, eba, esp, follow me home, aide au dÉmarrage en cÔte, accoudoir central, direction assistÉe programmable, cache bagages, rÉtroviseurs Électriques, vitres teintÉes,...vignette 1500dhs/an.",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424776/ford-kuga-.html,5.0,Non,Oui,n/d,n/d,Non,n/d
KIA Sorento,223000,Casablanca,79000.0,2019,Automatique,Diesel,2024-08-03,8.0,0.0,kia sorento – diesel occasion à vendreréf nado.ma : #24448véhicule certifiénado.ma se charge de commercialiser la kia sorento **** tci r bva toutes options pour le compte de son client particulier.le véhicule a été évalué et expertisé totalement et ne fait objet d’aucun accident ou opposition.il n’y a aucun coût pour l’acheteur.veuillez nous contacter pour plus d’informations.,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406941/kia-sorento-20.html,5.0,Non,n/d,Suv et 4x4,Gris fonce,Non,n/d
VOLKSWAGEN Sharan,165000,Casablanca,299000.0,2014,Automatique,Diesel,2024-08-03,8.0,2014.0,"Volkswagen sharan diesel automatique 2014dedouner 2017 à casablanca occasion véhicule certifiénado ma se charge de commercialiser volkswagen sharan diesel automatique 2014dedouner 2017 pour le compte de son client particulier.le véhicule a été évalué et expertisé totalement et ne fait objet d’aucun accident ou opposition.il n’y a aucun coût pour l’acheteur.pour voir la voiture en vidéo merci de visiter notre chaine youyube nado auto veuillez nous contacter pour plus d’informations.
voir la voiture en video sur notre chaine nado auto      nado ma",https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/414697/volkswagen-sharan-.html,5.0,Oui,n/d,n/d,n/d,Non,n/d
AUDI A5 coupe,497000,Casablanca,100000.0,2018,Automatique,Diesel,2024-08-03,8.0,2022.0,audi a5 s-line quattro diesel occasiondédouanée le : 05/2022réf nado.ma : #24818véhicule certifiénado.ma se charge de commercialiser la audi a5 s-line 3x quattro 2.0l bva pour le compte de son client particulier.le véhicule a été évalué et expertisé totalement et ne fait objet d’aucun accident ou opposition.il n’y a aucun coût pour l’acheteur.pour voir la voiture en vidéo merci de visiter nado.maveuillez nous contacter pour plus d’informations.,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407282/audi-a5-coupe-20-tdi-3x-s-line-quattro.html,5.0,Non,n/d,Coupé,Gris anthracite,Non,n/d
